file,document_id,published,section,genre,authors,words,headline_en,url
2025-01-04_international_young-angry-fiercely-determined-activists-fighting-alongside_ld1864526,1864526,2025-01-04,International,,"Christian Putsch (text and images), Omdurman",1965,"Young, angry, and fiercely determined: activists are fighting alongside the Sudanese army against the rebel militia – and the greatest humanitarian catastrophe of our time",https://www.nzz.ch/international/jung-wuetend-und-wild-entschlossen-aktivisten-kaempfen-mit-der-sudanesischen-armee-gegen-die-rebellen-miliz-und-die-groesste-humanitaere-katastrophe-dieser-welt-ld.1864526
2025-11-05_international_rio-s-favelas-killing-becomes-ritual_ld1909890,1909890,2025-11-05,International,,"Thomas Milz (text), Francisco Proner (images), Rio de Janeiro",1922,"In Rio's favelas, killing becomes a ritual",https://www.nzz.ch/international/in-rios-favelas-wird-das-toeten-zum-ritual-ld.1909890
2025-04-16_international_asians-no-longer-intimidated-arrogance-europeans_ld1879569,1879569,2025-04-16,International,Interview,"Katrin Büchenbacher, Benedict Neff (text), Maurice Haas (images)",2856,«Asians are no longer intimidated by the arrogance of Europeans.»,https://www.nzz.ch/international/kishore-mahbubani-warnt-europa-china-zu-verprellen-sei-gefaehrlich-ld.1879569
2025-04-02_international_not-keen-military-service-europe-s-defense_ld1876768,1876768,2025-04-02,International,Datenanalyse,Julia Monn,1345,Not keen on military service? Europe's defense has a recruitment problem. The big picture.,https://www.nzz.ch/international/wehrpflicht-in-europa-zahlen-fakten-und-aktuelle-umfragen-im-ueberblick-ld.1876768
2026-06-23_international_indians-triumphed-little-bighorn-river-but-their_ld10003586,10003586,2026-06-23,International,,"Werner J. Marti (text), Andrea Mittelholzer (photo editing)",2178,The Indians triumphed at the Little Bighorn River – but their downfall was nonetheless inevitable,https://www.nzz.ch/international/custers-letzte-schlacht-vor-150-jahren-wurde-die-us-armee-am-little-bighorn-river-von-den-indianern-vernichtend-geschlagen-deren-untergang-war-trotzdem-unaufhaltsam-ld.10003586
2025-05-29_wirtschaft_germany-s-welfare-state-threatened-financial-collapse_ld1886544,1886544,2025-05-29,Wirtschaft,,"Malte Fischer, Düsseldorf",1779,Germany's welfare state is threatened with financial collapse,https://www.nzz.ch/wirtschaft/deutschlands-wohlfahrtsstaat-droht-der-finanzielle-kollaps-ld.1886544
2026-04-14_wirtschaft_athens-fight-against-shadow-economy-investigators-hunt_ld1925441,1925441,2026-04-14,Wirtschaft,,"Nicole Anliker, Athen",1616,Athens' fight against the shadow economy: Investigators hunt for tax evaders,https://www.nzz.ch/wirtschaft/athens-kampf-gegen-die-schattenwirtschaft-mit-fahndern-auf-der-jagd-nach-steuersuendern-ld.1925441
2025-09-20_finanzen_trump-must-have-mistaken-usa-another-country_ld1902492,1902492,2025-09-20,Finanzen,Interview,"Michael Ferber, Markus Städeli",2533,"«Trump must have mistaken the USA for another country,» says Nassim Taleb, author of the book «The Black Swan»",https://www.nzz.ch/finanzen/schwarzer-schwan-autor-nassim-taleb-im-interview-zu-trump-schulden-usa-gold-ld.1902492
2025-05-07_technologie_police-brought-down-world-s-most-feared_ld1880992,1880992,2025-05-07,Technologie,,"Gioia da Silva, Lukas Mäder",3075,How the police brought down the world's most feared hacker: a reconstruction of the end of Lockbit,https://www.nzz.ch/technologie/lockbit-wie-die-polizei-den-gefuerchtetsten-hacker-der-welt-zu-fall-brachte-eine-rekonstruktion-des-endes-von-lockbit-ld.1880992
2026-03-12_technologie_dario-daniela-amodei-siblings-who-defy-pentagon_ld1928134,1928134,2026-03-12,Technologie,,Ruth Fulterer,1472,Dario and Daniela Amodei: the siblings who defy the Pentagon,https://www.nzz.ch/technologie/dario-und-daniela-amodei-die-geschwister-die-dem-pentagon-die-stirn-bieten-ld.1928134
2025-07-16_technologie_80-years-atomic-bomb-american-secret-city_ld1890570,1890570,2025-07-16,Technologie,,"Marie-Astrid Langer, Los Alamos",2435,"80 years of the atomic bomb: In the American secret city of Los Alamos, a historical war rages.",https://www.nzz.ch/technologie/80-jahre-atombombe-in-der-amerikanischen-geheimstadt-los-alamos-tobt-der-geschichtskrieg-ld.1890570
2025-08-28_technologie_first-chat-gpt-helped-teenager-homework-then_ld1899827,1899827,2025-08-28,Technologie,,"Marie-Astrid Langer, San Francisco",1394,"First, Chat-GPT helped a teenager with his homework, then with his suicide. Now his parents are suing.",https://www.nzz.ch/technologie/erst-half-chat-gpt-diesem-teenager-bei-den-hausaufgaben-dann-beim-suizid-jetzt-klagen-seine-eltern-ld.1899827
2025-05-17_feuilleton_artemisia-gentileschi-s-paintings-eyes-tell-whole_ld1884009,1884009,2025-05-17,Feuilleton,,Roman Bucheli,1442,"In Artemisia Gentileschi's paintings, the eyes tell the whole story",https://www.nzz.ch/feuilleton/artemisia-gentileschi-ld.1884009
2026-06-15_feuilleton_uzbekistan-country-discovers-future-art_ld10011305,10011305,2026-06-15,Feuilleton,,Sabine B. Vogel,1725,Uzbekistan: A country discovers its future in art,https://www.nzz.ch/feuilleton/usbekistan-und-die-kunst-wie-ein-land-seine-zukunft-gestaltet-ld.10011305
2025-07-02_feuilleton_old-world-order-has-collapsed-europe-must_ld1891521,1891521,2025-07-02,Feuilleton,,Herfried Münkler,1396,The old world order has collapsed. Europe must adapt to chaos in order to survive.,https://www.nzz.ch/feuilleton/welt-im-chaos-warum-die-regelbasierte-ordnung-gescheitert-ist-ld.1891521
2026-06-13_gesellschaft_thanks-valley-middle-provinces-america-rose-superpower_ld10004841,10004841,2026-06-13,Gesellschaft,,"Ivo Mijnssen, Bethlehem, Simon Tanner",3652,"Thanks to this valley in the middle of the provinces, America rose to superpower status – today the place has an image problem. Billy Joel is partly to blame",https://www.nzz.ch/gesellschaft/american-dream-aus-stahl-wie-die-usa-zur-supermacht-wurden-ld.10004841
2026-06-28_nzz-am-sonntag-magazin_cradle-evil-adolf-hitler-s-birthplace-becomes_ld10012889,10012889,2026-06-28,NZZ am Sonntag Magazin,,"Sacha Batthyany (text), Roderick Aichinger (photos)",3070,The cradle of evil: Adolf Hitler's birthplace becomes a police station. Can a house be decontaminated?,https://www.nzz.ch/nzz-am-sonntag-magazin/hitlers-geburtshaus-in-braunau-wird-zur-polizeiwache-geht-das-ld.10012889
