ld_id,q_id,tool,chart_type,title,data_rows,has_table,has_votes,has_geojson,source,images,captured_from
10004103,918a51e86457ce5db223e7ba09f89719,locator_map,locator_map,Alternative Routen zur Strasse von Malakka,0,no,no,yes,,0,dragon capture
10012805,61555fb2e72649e3a4f526fe4204df28,chart,Line,"Indien: Die Bevölkerung nimmt zu, die Geburtenrate sinkt stark.",9,yes,no,no,,0,dragon capture
10014321,833c3c20b50add8a4b6f9530078b3d8f,chart,StackedBar (bar),Der Strommix der Schweiz ist sauberer als der deutsche,2,yes,no,no,Ember,0,dragon capture
10014321,d6f71b15d01356c1168cbb262cb0a829,chart,Line,Die Preise für Klimaanlagen stiegen während der Hitzewelle stark an,409,yes,no,no,Galaxus,0,dragon capture
10014321,d6f71b15d01356c1168cbb262ca1cbe4,chart,Bar (bar),"Wer jetzt eine Klimaanlage bestellt, muss oft lange warten",6,yes,no,no,Galaxus,0,dragon capture
10014321,85a7e70188cdb319eb095476128cf5a0,infographic,infographic,Der Unterschied zwischen Monoblock- und Split-Klimaanlagen,0,no,no,no,,1,dragon capture
10014321,833c3c20b50add8a4b6f953007c51e5b,infographic,infographic,Die meisten mobilen Klimageräte kühlen mit Propan,0,no,no,no,Galaxus,1,dragon capture
10014321,25adbb1c7f644d6e4d79c92af9ea55ea,infographic,infographic,Stark überbaute Gebiete kühlen in der Nacht weniger ab,0,no,no,no,Kanton Zürich,0,dragon capture
10014321,2b2fd4dfb963e0e718f531129433b851,scroll_graphic,scroll_graphic,So funktioniert eine Klimaanlage,0,no,no,no,,7,dragon capture
10015775,0bab4f4ac565cbdff5f5748d6cb5e31d,choropleth,categorical / base map europe-countries-geographic,Wo die Sterbehilfe in Europa erlaubt ist,47,yes,no,no,Deutsche Gesellschaft für Humanes Sterben (DGHS) e. V.,0,dragon capture
10016497,173b1563b00e7d95b48f736b38c77de9,chart,Bar (bar),Iran hat rund 1500 Raketen und Drohnen auf Kuwait abgeschossen,6,yes,no,no,INSS,0,dragon capture
10016497,de266d4e66d3d94e4de7bfd577658052,locator_map,locator_map,Kuwait ist von der Strasse von Hormuz abhängig,0,no,no,yes,,0,dragon capture
10016531,a548a7ae724c40cd65dc49e472f52a75,chart,Line,Nach den Ausschlägen von 2024 steigt der Kakaopreis erneut an,891,yes,no,no,ICE via Bloomberg ,0,dragon capture
10016531,5de66948dc6755d9a22e9bf89df1ce5b,chart,Line,Seit Anfang Jahr ist der Reispreis stark gestiegen ,251,yes,no,no,CBOT via Bloomberg ,0,dragon capture
1875099,8070264e05de394ee6dd77670a2fc679,chart,Area,Mehr Kokain in Europa als je zuvor,11,yes,no,no,EUDA,0,dragon capture
1875099,5cde6d33c8c4f3aad5c88cd2192a8da4,chart,Area,Seit 2018 wird in West- und Zentralafrika mehr Kokain beschlagnahmt als in Nordafrika,6,yes,no,no,Unodc,0,dragon capture
1875099,914387acc4e7abb7df0e8ee47291e8f6,infographic,infographic,Geschenkübergabe Jos,0,no,no,no,,1,dragon capture
1875099,914387acc4e7abb7df0e8ee47292df2e,infographic,infographic,Gesucht: Jos ,0,no,no,no,,1,dragon capture
1875099,5cde6d33c8c4f3aad5c88cd219326245,infographic,infographic,Holly,0,no,no,no,,1,dragon capture
1875099,5cde6d33c8c4f3aad5c88cd21938308c,infographic,infographic,Karte Routen,0,no,no,no,,1,dragon capture
1875099,5cde6d33c8c4f3aad5c88cd2192bb6bd,table,table,In Belgien wurden in den letzten zwei Jahren 18 Tonnen Kokain aus Sierra Leone beschlagnahmt,3,yes,no,no,AD,0,dragon capture
1881978,a02936c58815d506796673dd0d176a16,election_seats,election_seats,Liberale verfehlen absolute Mehrheit,5,yes,no,no,CTV News,0,dragon capture
1881978,7e524653bbb3014e32d5d164fc3b5e49,election_votes,election_votes,tba.,6,yes,no,no,CTV News,0,dragon capture
1887401,8fcbd28255e890417dc9a282f5eae092,chart,Bar (bar),"Men voted overwhelmingly for Nawrocki, women for Trzaskowski",2,yes,no,no,,0,dragon capture
1887401,596f09f1501e5776fb09e4901bfea993,chart,Bar (bar),Nawrocki won over younger voters,5,yes,no,no,,0,dragon capture
1887401,596f09f1501e5776fb09e4901bff6784,choropleth,categorical / base map world-countries-geographic,Poles abroad voted overwhelmingly for Trzaskowski – with two exceptions,202,yes,no,no,,0,dragon capture
1887401,596f09f1501e5776fb09e4901bf89961,election_executive,election_executive,Presidential election in Poland,2,yes,no,no,,0,dragon capture
